"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that exporter endpoint is functional.","157482","test_exporter_endpoint","tests.integration","Fri Aug 09 01:36:14 UTC 2024","passed","Fri Aug 09 01:38:52 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","99893","test_build_deploy_and_relate","tests.integration","Fri Aug 09 01:36:03 UTC 2024","passed","Fri Aug 09 01:37:43 UTC 2024","","test_tls","",""
"Test log rotation.","119000","test_log_rotation","tests.integration","Fri Aug 09 01:36:06 UTC 2024","passed","Fri Aug 09 01:38:05 UTC 2024","","test_log_rotation","",""
"Test the nodeport.","670","test_node_port_and_clusterip_setup","tests.integration","Fri Aug 09 01:39:59 UTC 2024","passed","Fri Aug 09 01:40:00 UTC 2024","","test_node_port","",""
"Test the database relation.","1613","test_tls","tests.integration","Fri Aug 09 01:39:58 UTC 2024","passed","Fri Aug 09 01:39:59 UTC 2024","","test_node_port","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","143114","test_deploy_edge","tests.integration","Fri Aug 09 01:35:54 UTC 2024","passed","Fri Aug 09 01:38:17 UTC 2024","","test_upgrade","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","1275279","test_fail_and_rollback","tests.integration","Fri Aug 09 01:41:36 UTC 2024","broken","Fri Aug 09 02:02:51 UTC 2024","","test_upgrade","",""
"Test encryption when backend database is using TLS.","22266","test_connected_encryption","tests.integration","Fri Aug 09 01:37:43 UTC 2024","passed","Fri Aug 09 01:38:05 UTC 2024","","test_tls","",""
"Test that the exporter endpoint works when related with TLS","219714","test_exporter_endpoint","tests.integration","Fri Aug 09 01:35:54 UTC 2024","passed","Fri Aug 09 01:39:33 UTC 2024","","test_exporter_with_tls","",""
"Test the database relation.","274589","test_database_relation","tests.integration","Fri Aug 09 01:35:46 UTC 2024","passed","Fri Aug 09 01:40:21 UTC 2024","","test_charm","",""
"Test the deployment of the charm.","223962","test_build_and_deploy","tests.integration","Fri Aug 09 01:36:14 UTC 2024","passed","Fri Aug 09 01:39:58 UTC 2024","","test_node_port","",""
"Test the nodeport.","4180","test_data_integrator","tests.integration","Fri Aug 09 01:40:00 UTC 2024","passed","Fri Aug 09 01:40:04 UTC 2024","","test_node_port","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","198517","test_upgrade_from_edge","tests.integration","Fri Aug 09 01:38:17 UTC 2024","passed","Fri Aug 09 01:41:36 UTC 2024","","test_upgrade","",""
